id|record_type|cameo_title|compare_strings
58ce47e1fea250209c0a2561|Cameo.Phoenix.agents|AGRICULTURALIST|agriculturalist
58ce47e1fea250209c0a2562|Cameo.Phoenix.agents|AGRICULTURIST|agriculturist
58ce47e1fea250209c0a2563|Cameo.Phoenix.agents|CATTLE!PERSON!|cattle!person!
58ce47e1fea250209c0a2564|Cameo.Phoenix.agents|CATTLE_RANCHER|cattle+rancher
58ce47e1fea250209c0a2565|Cameo.Phoenix.agents|CROPPER|cropper
58ce47e1fea250209c0a2566|Cameo.Phoenix.agents|CULTIVATOR|cultivator
58ce47e1fea250209c0a2567|Cameo.Phoenix.agents|DAIRY!PERSON!|dairy!person!
58ce47e1fea250209c0a2568|Cameo.Phoenix.agents|DAIRY_FARMER|dairy+farmer
58ce47e1fea250209c0a2569|Cameo.Phoenix.agents|FARMER|farmer
58ce47e1fea250209c0a256a|Cameo.Phoenix.agents|FARM_LABOURER|farm+labourer
58ce47e1fea250209c0a256b|Cameo.Phoenix.agents|FARM_WORKER|farm+worker
58ce47e1fea250209c0a256c|Cameo.Phoenix.agents|FISHER|fisher
58ce47e1fea250209c0a256d|Cameo.Phoenix.agents|FISHER!PERSON!|fisher!person!
58ce47e1fea250209c0a256e|Cameo.Phoenix.agents|GRANGER|granger
58ce47e1fea250209c0a256f|Cameo.Phoenix.agents|HERDS!PERSON!|herds!person!
58ce47e1fea250209c0a2570|Cameo.Phoenix.agents|INDIGENOUS_FARMER|indigenous+farmer
58ce47e1fea250209c0a2571|Cameo.Phoenix.agents|MILLS_ASSOCIATION|mills+association
58ce47e1fea250209c0a2572|Cameo.Phoenix.agents|ORCHARDIST|orchardist
58ce47e1fea250209c0a2573|Cameo.Phoenix.agents|PEASANT|peasant
58ce47e1fea250209c0a2574|Cameo.Phoenix.agents|RANCHER|rancher
58ce47e1fea250209c0a2575|Cameo.Phoenix.agents|SHARECROPPER|sharecropper
58ce47e1fea250209c0a2576|Cameo.Phoenix.agents|SHARECROP_FARMER|sharecrop+farmer
58ce47e1fea250209c0a2577|Cameo.Phoenix.agents|SODBUSTER|sodbuster
58ce47e1fea250209c0a2578|Cameo.Phoenix.agents|SUBSISTENCE_FARMER|subsistence+farmer
58ce47e1fea250209c0a2579|Cameo.Phoenix.agents|TENANT_FARMER|tenant+farmer
58ce47e1fea250209c0a257a|Cameo.Phoenix.agents|BUDDHIST|buddhist
58ce47e1fea250209c0a257b|Cameo.Phoenix.agents|BUDDHIST_CLERGY!PERSON!|buddhist+clergy!person!
58ce47e1fea250209c0a257c|Cameo.Phoenix.agents|BUDDHIST_CLERGY|buddhist+clergy
58ce47e1fea250209c0a257d|Cameo.Phoenix.agents|BUDDHIST_MISSIONARY|buddhist+missionary
58ce47e1fea250209c0a257e|Cameo.Phoenix.agents|BUDDHIST_MONASTARY|buddhist+monastary
58ce47e1fea250209c0a257f|Cameo.Phoenix.agents|BUDDHIST_MONK|buddhist+monk
58ce47e1fea250209c0a2580|Cameo.Phoenix.agents|BUDDHIST_PRIEST|buddhist+priest
58ce47e1fea250209c0a2581|Cameo.Phoenix.agents|BUDDHIST_STUDENT|buddhist+student
58ce47e1fea250209c0a2582|Cameo.Phoenix.agents|BUDDHIST_WARRIOR|buddhist+warrior
58ce47e1fea250209c0a2583|Cameo.Phoenix.agents|AEROSPACE|aerospace
58ce47e1fea250209c0a2584|Cameo.Phoenix.agents|AIRLINE|airline
58ce47e1fea250209c0a2585|Cameo.Phoenix.agents|AIRLINE_BUSINESS|airline+business
58ce47e1fea250209c0a2586|Cameo.Phoenix.agents|AIRWAY|airway
58ce47e1fea250209c0a2587|Cameo.Phoenix.agents|AGROBUSINESS|agrobusiness
58ce47e1fea250209c0a2588|Cameo.Phoenix.agents|ARMS_INDUSTRY|arms+industry
58ce47e1fea250209c0a2589|Cameo.Phoenix.agents|AUTOMAKER|automaker
58ce47e1fea250209c0a258a|Cameo.Phoenix.agents|AUTO_MAKER|auto+maker
58ce47e1fea250209c0a258b|Cameo.Phoenix.agents|AUTO_MANUFACTURER|auto+manufacturer
58ce47e1fea250209c0a258c|Cameo.Phoenix.agents|BARGAINER|bargainer
58ce47e1fea250209c0a258d|Cameo.Phoenix.agents|BOSS|boss
58ce47e1fea250209c0a258e|Cameo.Phoenix.agents|BUSINESSPERSON|businessperson
58ce47e1fea250209c0a258f|Cameo.Phoenix.agents|BUSINESS!PERSON!|business!person!
58ce47e1fea250209c0a2590|Cameo.Phoenix.agents|BUSINESS|business
58ce47e1fea250209c0a2591|Cameo.Phoenix.agents|BUSINESS_EXECUTIVE|business+executive
58ce47e1fea250209c0a2592|Cameo.Phoenix.agents|BUSINESS_LEADER|business+leader
58ce47e1fea250209c0a2593|Cameo.Phoenix.agents|BUSINESS_TYCOON|business+tycoon
58ce47e1fea250209c0a2594|Cameo.Phoenix.agents|CABINETMAKER|cabinetmaker
58ce47e1fea250209c0a2595|Cameo.Phoenix.agents|CARGO_SHIP|cargo+ship
58ce47e1fea250209c0a2596|Cameo.Phoenix.agents|CARGO_VESSEL|cargo+vessel
58ce47e1fea250209c0a2597|Cameo.Phoenix.agents|CARMAKER|carmaker
58ce47e1fea250209c0a2598|Cameo.Phoenix.agents|CAR_MAKER|car+maker
58ce47e1fea250209c0a2599|Cameo.Phoenix.agents|CAR_MANUFACTURER|car+manufacturer
58ce47e1fea250209c0a259a|Cameo.Phoenix.agents|CEO|ceo
58ce47e1fea250209c0a259b|Cameo.Phoenix.agents|CHAMBER_OF_COMMERCE|chamber+of+commerce
58ce47e1fea250209c0a259c|Cameo.Phoenix.agents|CHAMBER_OF_COMMERCE_AND_INDUSTRY|chamber+of+commerce+and+industry
58ce47e1fea250209c0a259d|Cameo.Phoenix.agents|COMMERCIAL_BANK|commercial+bank
58ce47e1fea250209c0a259e|Cameo.Phoenix.agents|COMMERCIAL_ENTERPRISE|commercial+enterprise
58ce47e1fea250209c0a259f|Cameo.Phoenix.agents|COMPANY|company
58ce47e1fea250209c0a25a0|Cameo.Phoenix.agents|COMPANY_OWNER|company+owner
58ce47e1fea250209c0a25a1|Cameo.Phoenix.agents|COMPUTER_MAKER|computer+maker
58ce47e1fea250209c0a25a2|Cameo.Phoenix.agents|CONGLOMERATE|conglomerate
58ce47e1fea250209c0a25a3|Cameo.Phoenix.agents|CONTAINERSHIP|containership
58ce47e1fea250209c0a25a4|Cameo.Phoenix.agents|CONTAINER_SHIP|container+ship
58ce47e1fea250209c0a25a5|Cameo.Phoenix.agents|CONTAINER_VESSEL|container+vessel
58ce47e1fea250209c0a25a6|Cameo.Phoenix.agents|CORPORATE_EXECUTIVE|corporate+executive
58ce47e1fea250209c0a25a7|Cameo.Phoenix.agents|CORPORATION|corporation
58ce47e1fea250209c0a25a8|Cameo.Phoenix.agents|CREDIT_UNION|credit+union
58ce47e1fea250209c0a25a9|Cameo.Phoenix.agents|DEFENCE_INDUSTRY|defence+industry
58ce47e1fea250209c0a25aa|Cameo.Phoenix.agents|DEFENSE_INDUSTRY|defense+industry
58ce47e1fea250209c0a25ab|Cameo.Phoenix.agents|DEFENCE_CONTRACTOR|defence+contractor
58ce47e1fea250209c0a25ac|Cameo.Phoenix.agents|DEFENSE_CONTRACTOR|defense+contractor
58ce47e1fea250209c0a25ad|Cameo.Phoenix.agents|ELECTRONICS_MAKER|electronics+maker
58ce47e1fea250209c0a25ae|Cameo.Phoenix.agents|EMPLOYER|employer
58ce47e1fea250209c0a25af|Cameo.Phoenix.agents|ENERGY_CORP|energy+corp
58ce47e1fea250209c0a25b0|Cameo.Phoenix.agents|ENTERPRENEUR|enterpreneur
58ce47e1fea250209c0a25b1|Cameo.Phoenix.agents|ENTREPRENEUR|entrepreneur
58ce47e1fea250209c0a25b2|Cameo.Phoenix.agents|EXPORTER|exporter
58ce47e1fea250209c0a25b3|Cameo.Phoenix.agents|FREIGHTER|freighter
58ce47e1fea250209c0a25b4|Cameo.Phoenix.agents|FURNITURE_MAKER|furniture+maker
58ce47e1fea250209c0a25b5|Cameo.Phoenix.agents|GAS_CORP|gas+corp
58ce47e1fea250209c0a25b6|Cameo.Phoenix.agents|GENERAL_CONTRACTOR|general+contractor
58ce47e1fea250209c0a25b7|Cameo.Phoenix.agents|HOLDING_COMPANY|holding+company
58ce47e1fea250209c0a25b8|Cameo.Phoenix.agents|INDUSTRY|industry
58ce47e1fea250209c0a25b9|Cameo.Phoenix.agents|INVESTOR|investor
58ce47e1fea250209c0a25ba|Cameo.Phoenix.agents|JUMBOJET|jumbojet
58ce47e1fea250209c0a25bb|Cameo.Phoenix.agents|JUMBO_JET|jumbo+jet
58ce47e1fea250209c0a25bc|Cameo.Phoenix.agents|LANDLORD|landlord
58ce47e1fea250209c0a25bd|Cameo.Phoenix.agents|LEADING_BANK|leading+bank
58ce47e1fea250209c0a25be|Cameo.Phoenix.agents|MANAFACTURE|manafacture
58ce47e1fea250209c0a25bf|Cameo.Phoenix.agents|MANUFACTURER|manufacturer
58ce47e1fea250209c0a25c0|Cameo.Phoenix.agents|MERCHANDISER|merchandiser
58ce47e1fea250209c0a25c1|Cameo.Phoenix.agents|MERCHANT|merchant
58ce47e1fea250209c0a25c2|Cameo.Phoenix.agents|MERCHANT_SHIP|merchant+ship
